aid,attribute
1,""
2,ADeceased bAlso
3,Acad Sci Res & Technol
4,Univ Coll Dublin
5,Univ Groningen
6,0yungpook Natl Univ
7,1 Def Serv Gen Hosp
8,1 Univ New Mexico
9,10 2 Commun & Serv
10,10Univ Pittsburgh
11,168th Multifunct Med Battal
12,198 Coal Geol Explorat Grp
13,1Florida ADRC Florida Alzheimers Dis Res Ctr
14,1NFN Sez Catania
15,1NFN Sez Pisa
16,1ndian Inst Technol Madras
17,1st Engineer Support Unit
18,20708A
19,21st Century Oncol
20,21st Century Oncol Translat Res Consortium TRC
21,22 CNRS
22,23andMe Inc
23,2Blades Fdn
24,306th Hosp PLA
25,31 Aix Marseille Univ
26,338 Robins Sch Business
27,3M
28,3M Corp
29,3MTS
30,3P Biotechnol Inc
31,3rd Med Dept
32,3rd Mil Med Univ
33,401 Hosp Chinese Peoples Liberat Army
34,413 Hosp
35,421 St Hosp PLA
36,457th Hosp PLA
37,46 Elm Row
38,4Frontiers Corp
39,4Univ Alabama
40,5 Brookhaven Natl Lab
41,517 Mil Hosp
42,525 Solut Inc
43,54th Res Inst CETC
44,5D Hlth Protect Grp Ltd
45,5D Trop Inc
46,75th Dent Flight
47,75th Dent Squadron
48,7Louis Stokes Cleveland VA Med Ctr
49,81st Med Grp
50,96th Dent Squadron
51,A Manzoni Hosp
52,A Meyer Univ Childrens Hosp
53,A New Beginning PA
54,A Stensvand Florida
55,A&G Pharmaceut
56,A&G Pharmaceut Inc
57,A&L Eastern Labs
58,A&L Labs
59,A&M Coll
60,A&M Hlth Sci Ctr
61,AA Univ
62,AAA Neurosci Consultants LLP
63,AAAS
64,AABB
65,AABB Ctr Cellular Therapies
66,AAFC
67,AAP Julius B Richmond Ctr Excellence
68,AAP Sect Anesthesiol & Pain Med
69,AAPA
70,AARD LLC
71,AASLD
72,AAST Multiinst Trials Comm
73,AB Sci SA
74,AB Sciex Asia Pacific Applicat Support Ctr
75,AB Vista Feed Ingredients
76,ABB Corp Res
77,ABB Corp Res Ctr
78,ABB Secheron Ltd
79,ABB US Corp Res
80,ABB US Corp Res Ctr
81,ABBVIE
82,ABC Med Sch
83,ABC Neurol Ctr
84,ABC Neurol Ctr & Natl Inst Neurol & Neurosurg
85,ABC News Consultant
86,ABFM
87,ABS Global Inc
88,ABT Associates Inc
89,ABT Mol Imaging Inc
90,AC Camargo Canc Ctr
91,AC Camargo Hosp
92,AC Coordinac Guaymas
93,AC2T Res GmbH
94,ACALA Neurosurg Specialists PC
95,ACC Natl Cardiovasc Data Registry
96,ACC&D
97,ACE Interface
98,ACECR
99,ACEER Fdn
100,ACENT Labs LLC
101,ACEP
102,ACES QC
103,ACF
104,ACG
105,ACH Univ Sci & Technol
106,ACI Comm 349
107,ACI Comm 355
108,ACI Subcomm 318 B
109,ACIN
110,ACM
111,ACMI Pain Care
112,ACPySS
113,ACR
114,ACS Publicat
115,ACT Inc
116,ACTA
117,ACTION Hlth
118,ADAMA Agr Solut Ltd
119,ADEA Team
120,ADIA
121,ADMed Microbiol
122,ADR AC GMBH
123,AE Hlth Consulting
124,AECL Chalk River Labs
125,AECOM
126,AECOM Inc
127,AEGD 1
128,AF Ioffe Phys Tech Inst
129,AF Res Lab
130,AFM Telethon
131,AFRL
132,AFRL RITB
133,AFRL RXBC
134,AFRL RYDP
135,AFRL Sensors Directorate
136,AGH Nephrol Associates
137,AGH Univ Sci & Technol
138,AGTC
139,AHEPA Hosp
140,AHRQ
141,AI Alikhanov Natl Res Ctr Kurchatov Inst
142,AI Evdokimov Moscow State Univ Med & Dent
143,AIDS
144,AIDS & Canc Specimen Resource
145,AIDS Healthcare Fdn
146,AIM
147,AIM IRFU DSM CEA
148,AIM Specialty Hlth
149,AIMS UNM
150,AIP
151,AIR Worldwide
152,AIR Worldwide Corp
153,AIST
154,AIT Austrian Inst Technol
155,AIT Labs
156,AKH
157,AKH Wein
158,AKH Wien
159,AKH Wien Univ Kliniken
160,AL Jouf Univ
161,ALBA Synchrotron Light Source
162,ALD NanoSolut
163,ALGETA ASA
164,ALLIANCE
165,ALMA
166,ALP Alpine Lab Paleomagnetism
167,ALS
168,ALS Water Sci Grp
169,ALVALAB
170,AM Biotechnol
171,AM Chem LLC
172,AMA Inc
173,AMA Int Univ Bahrain
174,AMBE Project
175,AMC
176,AMC Univ Hosp
177,AMD India Design Ctr
178,AMEC
179,AMEC Environm & Infrastruct
180,AMEC Environm & Infrastruct Inc
181,AMEDDC&S Dept Vet Sci
182,AMEE
183,AMIA
184,AMP
185,AMPEL BioSolut LLC
186,AMU
187,AN Coll
188,AN Severtsov Inst Ecol & Evolut
189,ANAMAR Environm Consulting Inc
190,ANGR Agr Univ
191,ANGR Agril Univ
192,ANKA Consulting
193,ANKA Consulting Engineers
194,ANMCO Res Ctr
195,ANSES
196,ANSES Dozule Lab Equine Dis
197,ANSTO
198,ANSYS Inc
199,ANTHC
200,ANTSZ Reg Inst State Publ Hlth Serv
201,AO Citta Salute Sci Torino
202,AO Fatebenefratelli
203,AO Osped Papa Giovanni XXIII
204,AO PAPA GIOVANNI XXIII
205,AO Papa Giovanni XXIII
206,AO Spedali Civili
207,AO Univ Ferrara
208,AO Univ S Giovanni Battista Torino
209,AON
210,AONE
211,AORN Colli
212,AORN Colli Vincenzo Monaldi Hosp
213,AOS Maria degli Angeli
214,AOU Citta Salute & Sci
215,AOU Citta Salute & Sci Torino
216,AOU Maggiore Carita
217,AOU San Giovanni Battista
218,AOU San Luigi Gonzaga
219,AOU Univ Sassari
220,AOUP
221,AP HP
222,AP HP Necker Enfants Malades
223,AP Nutr
224,AP Nutr LLC
225,APC
226,APEC Climate Ctr
227,APFFLT CONANP
228,APHA
229,APHIS
230,APHIS Wildlife Serv
231,APHM Publ Hosp Marseille
232,APHP Corentin Celton
233,APOZ & Friends
234,APSIS
235,APT Fdn
236,APTA
237,APTIM
238,APTIM Fed Serv LLC
239,ARC
240,ARC Anim Prod Inst
241,ARC Ctr Excellence All Sky Astrophys CAASTRO
242,ARC Ctr Excellence All sky Astrophys 3 Dimens AST
243,ARC Ctr Excellence All sky Astrophys CAASTRO
244,ARC Ctr Excellence Free Rad Chem & Biotechnol
245,ARC NET Canc Res Ctr
246,ARC Plant Protect Res
247,ARC Plant Protect Res Inst
248,ARCA Biopharma
249,ARCADIS US Inc
250,AREEO
251,AREVA Inc North Amer
252,ARI Maruku
253,ARIAD Pharmaceut Inc
254,ARIEL Precis Med
255,ARIES
256,ARNP
257,ARO
258,ARO Gilat Res Ctr
259,ARO Volcani Ctr
260,ARS
261,ARS USDA
262,ARS USDA Cereal Dis Lab
263,ARS USDA Sugarbeet & Bean Res Unit
264,ARTOO Marine Biol Consultants
265,ARUP Inst
266,ARUP Inst Clin & Expt Pathol
267,ARUP Labs
268,AS CR
269,AS CR Vvi
270,ASCR
271,ASF
272,ASI
273,ASI Sci Data Ctr
274,ASI Space Sci Data Ctr SSDC
275,ASIAA
276,ASL VCO
277,ASLRMC CTO Hosp
278,ASME
279,ASP Catanzaro
280,ASPCA
281,ASPEN
282,ASRAM Alluri Sita Ramaraju Acad Med Sci
283,ASRT
284,ASST Fatebenefratelli Sacco
285,ASST Monza
286,ASST Niguarda Grande Osped Metropolitano
287,ASST Papa Giovanni XXIII
288,ASTAR
289,ASTRON
290,ASU
291,ASUS Cooperat
292,ASUS Corp
293,AT Still Univ
294,AT Still Univ Hlth Sci
295,AT&T Labs Res
296,ATA Aerosp
297,ATI Phys Therapy
298,ATIX Fdn
299,ATOMK
300,ATOMKI
301,ATOS Klin
302,ATP Healthcare Serv LLC
303,ATREE
304,ATTAGENE
305,ATW Automation Inc
306,AUC Task Force
307,AURA
308,AURA Observ Chile
309,AUSAGAVE
310,AUSL
311,AUSL Modena
312,AUST
313,AUVA Res Ctr
314,AVC Coll
315,AVETS
316,AVRDC
317,AVRDC World Vegetable Ctr
318,AVS SL
319,AW Dreyfoos Sch Arts
320,AWE Aldermaston
321,AWE Plc
322,AWE plc
323,AWHONN
324,AWWA Govt Affairs Off
325,AXA Res Fund
326,AXA Res Fund & UPMC Chair
327,AXAR Pharmaceut
328,AZ Niklaas
329,AZTi Fundazioa
330,Aachen Univ Clin
331,Aalborg Hosp
332,Aalborg Univ
333,Aalborg Univ Hosp
334,Aalto Univ
335,Aarhus Genome Ctr
336,Aarhus Univ
337,Aarhus Univ Hop
338,Aarhus Univ Hosp
339,Aaron Diamond AIDS Res Ctr
340,Aastrom Biosci Inc
341,Abandoned Mine Lands
342,Abant Izzet Baysal Univ
343,AbbVie
344,AbbVie Co
345,AbbVie Deutschland
346,AbbVie Deutschland GmBH & Co KG
347,AbbVie Deutschland GmbH & Co KG
348,AbbVie Inc
349,AbbVie Pharmaceut Co
350,AbbVie Stemcentrx LLC
351,Abbas Med Ctr
352,Abbott Healthcare Prod BV
353,Abbott Labs
354,Abbott NW
355,Abbott NW Hosp
356,Abbott Nutr R&D
357,Abbott Vasc
358,Abbvie Inc
359,Abdul Wali Khan Univ
360,Abdul Wali Khan Univ Mardan
361,Abdus Salaam Int Ctr Theoret Phys
362,Abeona Therapeut Inc
363,Aberdeen Royal Infirm
364,Aberystwyth Univ
365,Abids
366,Abilene Christian Univ
367,Abington Mem Hosp
368,Abington Neurol Associates
369,Ablynx NV
370,Abo Akad Univ
371,AboutSkin Dermatol & Dermsurg
372,Abraham Baldwin Agr Coll
373,Abraham Lincoln Middle Sch
374,Abramson Canc Ctr
375,Abramson Family Canc Res Inst
376,Abrazo West Campus
377,Abruzzo Reg Hlth Syst
378,Abt Associates Inc
379,Abt SRBI
380,Abu Siam Vet Clin
381,Acacia Anim Hosp
382,Acad Acad Leadership
383,Acad Affairs
384,Acad Agrarian Sci
385,Acad Athens
386,Acad Colombiana Ciencias Exactas Fis & Nat
387,Acad Criminal Justice Sci
388,Acad Ctr Dent Amsterdam
389,Acad Econ Studies
390,Acad Med
391,Acad Med Ctr
392,Acad Med Ctr Amsterdam
393,Acad Med Sci
394,Acad Med Sci Ukrain
395,Acad Mil Med Sci
396,Acad Nacl Hist
397,Acad Nat Sci
398,Acad Nat Sci Philadelphia
399,Acad Paediat Hosp Pedro Borras
400,Acad Sci
401,Acad Sci & Innovat Res
402,Acad Sci & Innovat Res AcSIR
403,Acad Sci & Inovat Res
404,Acad Sci Czech Republ
405,Acad Sci Czech Republic
406,Acad Sci Dominican Republ
407,Acad Sci Res & Technol
408,Acad Sci Res & Technol Arab Republ Egypt
409,Acad Sci Res & Technol Arab Republ Egypt Egyptian
410,Acad Sci Res & Technol Arab Republic Egypt
411,Acad Scienti fi c Res & Technol Arab Republ Egypt
